"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2019","6,660.0","6,493.4","6,752.1","6,456.8","3.39K","2.57%"
"12/04/2019","6,493.2","6,590.1","7,000.0","6,413.2","6.37K","-1.47%"
"12/03/2019","6,590.1","6,602.7","6,691.9","6,538.7","2.88K","-0.19%"
"12/02/2019","6,602.7","6,724.8","6,753.5","6,501.0","3.43K","-1.86%"
"12/01/2019","6,728.0","6,867.6","6,867.6","6,586.9","3.44K","-2.03%"
"11/30/2019","6,867.6","7,043.3","7,098.5","6,783.2","2.01K","-2.48%"
"11/29/2019","7,042.3","6,760.6","7,143.2","6,748.0","4.30K","4.17%"
"11/28/2019","6,760.6","6,850.7","6,967.9","6,712.0","3.54K","-1.30%"
"11/27/2019","6,849.6","6,512.9","6,979.9","6,245.3","7.00K","5.16%"
"11/26/2019","6,513.4","6,483.0","6,670.3","6,390.3","3.73K","0.47%"
"11/25/2019","6,483.0","6,275.0","6,714.2","5,950.0","8.78K","3.30%"
"11/24/2019","6,275.7","6,659.8","6,670.0","6,232.9","2.94K","-5.77%"
"11/23/2019","6,659.8","6,626.6","6,685.0","6,468.0","2.04K","0.50%"
"11/22/2019","6,626.6","6,892.9","6,990.4","6,153.6","10.16K","-3.86%"
"11/21/2019","6,892.9","7,297.6","7,327.2","6,712.0","5.46K","-5.57%"
"11/20/2019","7,299.1","7,341.8","7,431.1","7,265.5","2.73K","-0.58%"
"11/19/2019","7,341.9","7,395.0","7,412.8","7,234.6","3.27K","-0.72%"
"11/18/2019","7,395.0","7,697.1","7,698.2","7,270.3","3.88K","-3.92%"
"11/17/2019","7,697.1","7,687.8","7,799.9","7,600.0","1.41K","0.12%"
"11/16/2019","7,687.8","7,668.3","7,733.3","7,642.9","0.89K","0.27%"
"11/15/2019","7,667.0","7,833.2","7,963.8","7,611.9","4.10K","-2.13%"
"11/14/2019","7,834.2","7,963.7","7,979.9","7,798.4","2.89K","-1.63%"
"11/13/2019","7,963.7","8,002.3","8,025.0","7,909.0","2.21K","-0.45%"
"11/12/2019","7,999.9","7,906.4","8,056.0","7,800.0","2.78K","1.18%"
"11/11/2019","7,906.4","8,200.8","8,234.2","7,810.5","3.73K","-3.59%"
"11/10/2019","8,200.8","8,000.2","8,269.9","7,950.5","1.91K","2.51%"
"11/09/2019","8,000.2","7,961.1","8,064.3","7,910.4","1.15K","0.42%"
"11/08/2019","7,966.9","8,326.6","8,362.2","7,871.1","5.26K","-4.36%"
"11/07/2019","8,329.9","8,447.3","8,465.0","8,230.7","2.56K","-1.39%"
"11/06/2019","8,447.3","8,405.6","8,520.0","8,376.0","2.60K","0.50%"
"11/05/2019","8,405.6","8,458.6","8,524.9","8,247.6","2.94K","-0.63%"
"11/04/2019","8,458.6","8,252.0","8,599.0","8,182.5","3.04K","2.50%"
"11/03/2019","8,252.0","8,333.5","8,403.7","8,139.1","1.76K","-0.98%"
"11/02/2019","8,333.5","8,290.7","8,400.0","8,251.0","1.35K","0.52%"
"11/01/2019","8,290.7","8,212.2","8,336.0","8,123.1","2.68K","1.01%"
"10/31/2019","8,208.1","8,224.5","8,450.0","8,031.1","3.70K","-0.25%"
"10/30/2019","8,229.0","8,488.5","8,489.5","8,105.0","4.46K","-3.04%"
"10/29/2019","8,487.0","8,305.8","8,597.1","8,197.4","3.99K","2.17%"
"10/28/2019","8,306.9","8,602.3","8,948.3","8,272.5","5.18K","-3.46%"
"10/27/2019","8,605.0","8,335.3","8,828.0","8,203.4","4.70K","3.24%"
"10/26/2019","8,335.3","7,815.7","9,388.7","7,797.0","11.12K","6.71%"
"10/25/2019","7,811.5","6,701.0","7,912.9","6,678.1","7.53K","16.57%"
"10/24/2019","6,701.0","6,723.1","6,769.9","6,619.9","2.97K","-0.33%"
"10/23/2019","6,723.1","7,217.1","7,241.9","6,600.1","7.33K","-6.84%"
"10/22/2019","7,217.1","7,371.2","7,459.7","7,196.3","3.50K","-2.09%"
"10/21/2019","7,371.2","7,378.9","7,484.0","7,311.3","2.92K","-0.10%"
"10/20/2019","7,378.9","7,132.6","7,466.4","7,070.1","2.36K","3.45%"
"10/19/2019","7,132.6","7,129.7","7,248.8","7,066.9","2.01K","0.04%"
"10/18/2019","7,129.7","7,267.2","7,299.9","7,050.0","3.71K","-1.85%"
"10/17/2019","7,264.3","7,225.8","7,314.3","7,181.0","3.57K","0.53%"
"10/16/2019","7,225.8","7,400.0","7,417.2","7,161.7","3.88K","-2.35%"
"10/15/2019","7,400.0","7,577.1","7,647.9","7,354.8","3.38K","-2.32%"
"10/14/2019","7,576.1","7,525.0","7,624.0","7,470.2","2.35K","0.68%"
"10/13/2019","7,525.0","7,532.5","7,681.9","7,415.0","1.74K","-0.10%"
"10/12/2019","7,532.5","7,493.2","7,629.8","7,488.3","1.30K","0.52%"
"10/11/2019","7,493.2","7,809.2","7,996.5","7,453.2","4.39K","-4.00%"
"10/10/2019","7,805.2","7,813.3","7,866.5","7,677.5","3.65K","-0.10%"
"10/09/2019","7,813.3","7,477.5","7,900.0","7,405.1","4.65K","4.47%"
"10/08/2019","7,478.9","7,484.2","7,595.0","7,407.6","2.63K","-0.07%"
"10/07/2019","7,484.2","7,164.0","7,572.6","7,085.1","5.61K","4.38%"
"10/06/2019","7,170.1","7,420.0","7,448.0","7,108.0","3.10K","-3.37%"
"10/05/2019","7,420.0","7,445.0","7,470.7","7,319.9","2.00K","-0.34%"
"10/04/2019","7,445.0","7,515.2","7,521.3","7,325.1","2.55K","-0.93%"
"10/03/2019","7,515.2","7,658.6","7,688.5","7,365.7","3.05K","-1.87%"
"10/02/2019","7,658.3","7,618.5","7,664.3","7,476.5","3.06K","0.52%"
"10/01/2019","7,618.5","7,619.5","7,819.6","7,530.6","4.19K","-0.01%"
"09/30/2019","7,619.0","7,369.7","7,665.0","7,064.6","6.48K","3.38%"
"09/29/2019","7,369.7","7,522.2","7,539.6","7,238.2","2.44K","-2.03%"
"09/28/2019","7,522.2","7,498.4","7,644.4","7,355.5","2.24K","0.32%"
"09/27/2019","7,498.4","7,382.2","7,580.1","7,195.6","5.45K","1.59%"
"09/26/2019","7,381.3","7,715.7","7,774.0","7,083.0","7.88K","-4.34%"
"09/25/2019","7,716.4","7,761.7","7,963.0","7,492.0","7.87K","-0.58%"
"09/24/2019","7,761.7","8,830.0","8,917.9","7,377.6","14.72K","-12.00%"
"09/23/2019","8,820.1","9,118.3","9,131.0","8,765.4","4.00K","-3.27%"
"09/22/2019","9,118.3","9,062.9","9,155.1","8,952.4","1.38K","0.58%"
"09/21/2019","9,065.3","9,230.9","9,233.9","9,018.7","1.58K","-1.79%"
"09/20/2019","9,230.9","9,306.3","9,329.9","9,165.0","2.36K","-0.81%"
"09/19/2019","9,306.0","9,222.4","9,360.0","8,750.1","5.35K","0.91%"
"09/18/2019","9,222.4","9,213.4","9,269.5","9,141.3","2.54K","0.10%"
"09/17/2019","9,213.4","9,328.7","9,328.7","9,204.6","2.56K","-1.24%"
"09/16/2019","9,328.7","9,314.1","9,391.5","9,167.2","3.36K","0.16%"
"09/15/2019","9,314.1","9,356.9","9,378.9","9,285.3","0.90K","-0.49%"
"09/14/2019","9,359.7","9,351.8","9,427.4","9,252.9","1.27K","0.08%"
"09/13/2019","9,351.8","9,440.4","9,445.0","9,198.0","3.00K","-0.81%"
"09/12/2019","9,427.7","9,232.7","9,455.0","9,133.9","3.88K","2.12%"
"09/11/2019","9,232.3","9,150.5","9,253.7","8,980.0","3.63K","0.89%"
"09/10/2019","9,150.5","9,348.2","9,421.2","9,000.8","3.43K","-2.13%"
"09/09/2019","9,349.3","9,456.6","9,549.9","9,143.1","3.82K","-1.13%"
"09/08/2019","9,456.6","9,498.4","9,600.0","9,300.1","1.88K","-0.44%"
"09/07/2019","9,498.4","9,344.7","9,578.9","9,343.9","1.64K","1.63%"
"09/06/2019","9,346.4","9,590.1","9,927.6","9,267.0","5.85K","-2.54%"
"09/05/2019","9,590.1","9,584.4","9,654.3","9,480.0","2.67K","0.06%"
"09/04/2019","9,584.4","9,690.8","9,818.5","9,423.3","4.91K","-1.04%"
"09/03/2019","9,685.1","9,477.2","9,824.0","9,365.2","5.97K","2.19%"
"09/02/2019","9,477.2","8,887.8","9,534.9","8,882.6","4.94K","6.63%"
"09/01/2019","8,887.8","8,755.0","8,950.0","8,700.1","1.61K","1.44%"
"08/31/2019","8,761.3","8,727.1","8,820.0","8,600.5","1.21K","0.40%"
"08/30/2019","8,726.4","8,589.7","8,826.2","8,473.2","3.33K","1.74%"
"08/29/2019","8,577.5","8,780.5","8,780.5","8,434.4","5.10K","-2.36%"
"08/28/2019","8,784.7","9,169.0","9,284.0","8,650.0","4.96K","-4.19%"
"08/27/2019","9,169.0","9,333.9","9,342.8","9,043.1","2.63K","-1.77%"
"08/26/2019","9,333.9","9,111.6","9,561.3","9,111.6","3.65K","2.52%"
"08/25/2019","9,104.8","9,109.8","9,290.0","8,910.0","2.03K","-0.05%"
"08/24/2019","9,109.8","9,338.1","9,362.2","8,900.0","2.42K","-2.44%"
"08/23/2019","9,338.0","9,123.8","9,415.0","9,065.4","3.13K","2.35%"
"08/22/2019","9,123.8","9,140.0","9,241.9","8,818.0","3.87K","-0.18%"
"08/21/2019","9,140.0","9,699.3","9,729.9","8,889.2","6.04K","-5.77%"
"08/20/2019","9,699.3","9,861.5","9,883.0","9,540.1","3.31K","-1.60%"
"08/19/2019","9,856.7","9,308.9","9,865.5","9,271.0","3.86K","5.84%"
"08/18/2019","9,312.9","9,211.4","9,470.9","9,090.8","1.64K","1.10%"
"08/17/2019","9,211.4","9,336.4","9,439.5","9,020.1","2.24K","-1.31%"
"08/16/2019","9,333.7","9,280.0","9,500.1","8,793.6","5.95K","0.58%"
"08/15/2019","9,280.0","8,997.0","9,415.0","8,524.1","9.66K","3.26%"
"08/14/2019","8,986.8","9,723.2","9,723.2","8,906.1","6.79K","-7.61%"
"08/13/2019","9,727.4","10,154.9","10,207.9","9,612.0","4.37K","-4.21%"
"08/12/2019","10,154.9","10,307.6","10,310.0","10,062.0","2.21K","-1.49%"
"08/11/2019","10,308.6","10,097.3","10,342.9","9,932.0","2.18K","2.09%"
"08/10/2019","10,097.3","10,589.2","10,681.9","10,045.0","3.43K","-4.66%"
"08/09/2019","10,590.5","10,711.3","10,761.6","10,411.0","3.96K","-1.19%"
"08/08/2019","10,718.3","10,670.0","10,763.9","10,260.5","4.11K","0.45%"
"08/07/2019","10,670.0","10,228.7","10,810.0","10,137.9","6.36K","4.31%"
"08/06/2019","10,229.1","10,478.7","10,987.4","10,013.1","7.16K","-2.38%"
"08/05/2019","10,478.7","9,870.4","10,650.0","9,870.4","7.06K","6.16%"
"08/04/2019","9,870.4","9,720.2","9,958.9","9,463.1","2.70K","1.54%"
"08/03/2019","9,720.3","9,472.6","9,813.3","9,457.5","2.34K","2.61%"
"08/02/2019","9,472.6","9,379.1","9,598.7","9,315.0","3.99K","1.00%"
"08/01/2019","9,379.1","9,107.7","9,443.9","8,935.7","4.26K","3.06%"
"07/31/2019","9,100.4","8,593.3","9,110.0","8,578.5","5.31K","5.90%"
"07/30/2019","8,593.3","8,521.5","8,727.3","8,418.1","3.99K","0.84%"
"07/29/2019","8,521.5","8,578.3","8,734.6","8,434.0","5.30K","-0.65%"
"07/28/2019","8,577.5","8,521.8","8,635.8","8,225.9","2.50K","0.82%"
"07/27/2019","8,508.0","8,846.2","9,165.0","8,401.0","4.92K","-3.83%"
"07/26/2019","8,846.5","8,878.0","8,890.0","8,675.5","3.86K","-0.27%"
"07/25/2019","8,870.1","8,780.0","9,146.7","8,753.4","3.81K","1.03%"
"07/24/2019","8,780.0","8,850.7","8,918.9","8,558.0","6.01K","-0.80%"
"07/23/2019","8,850.7","9,228.9","9,228.9","8,812.3","5.94K","-4.10%"
"07/22/2019","9,228.9","9,448.9","9,536.5","9,002.0","4.76K","-2.33%"
"07/21/2019","9,448.9","9,607.5","9,671.8","9,220.1","3.05K","-1.65%"
"07/20/2019","9,607.5","9,393.1","9,900.0","9,256.1","4.06K","2.26%"
